chr_type,enhancer,gene,promoter_up,promoter_down,encode_no
chr2,chr2:202595000-202596400,ENSG00000082126,chr2:202508593-202509592,chr2:202563418-202564417,14
chr4,chr4:74447000-74447800,ENSG00000169435,chr4:74436267-74437266,chr4:74486349-74487348,14
chr1,chr1:55487000-55488400,ENSG00000162399,chr1:55463606-55464605,chr1:55476557-55477556,14
chr5,chr5:20615600-20616400,ENSG00000145526,chr5:19472060-19473059,chr5:20575983-20576982,14
chr3,chr3:172908200-172910000,ENSG00000144962,chr3:172606148-172607147,chr3:172859059-172860058,14
chr20,chr20:3182800-3184200,ENSG00000125877,chr20:3188514-3189513,chr20:3204517-3205516,14
chrX,chrX:46604200-46605400,ENSG00000065923,chrX:46463753-46464752,chrX:46618491-46619490,14
chr4,chr4:70849000-70850600,ENSG00000126549,chr4:70860647-70861646,chr4:70868288-70869287,14
chr6,chr6:116453800-116456000,ENSG00000123500,chr6:116439086-116440085,chr6:116479911-116480910,14
chr3,chr3:142450600-142452000,ENSG00000144935,chr3:142441916-142442915,chr3:142526731-142527730,14
chrX,chrX:130549600-130550800,ENSG00000147255,chrX:130406480-130407479,chrX:130533678-130534677,14
chrX,chrX:141320600-141323000,ENSG00000046774,chrX:141289131-141290130,chrX:141293077-141294076,14
chrX,chrX:86800800-86801400,ENSG00000102271,chrX:86771752-86772751,chrX:86925051-86926050,14
chr21,chr21:40940200-40942000,ENSG00000183778,chr21:40927369-40928368,chr21:41045065-41046064,14
chr14,chr14:24057800-24059800,ENSG00000092051,chr14:24036244-24037243,chr14:24048010-24049009,14
chr5,chr5:74534200-74536400,ENSG00000145700,chr5:74363100-74364099,chr5:74532704-74533703,14
chr11,chr11:114325800-114326800,ENSG00000076043,chr11:114309108-114310107,chr11:114321002-114322001,14
chrX,chrX:28654800-28656200,ENSG00000169306,chrX:28604516-28605515,chrX:29974841-29975840,14
chr10,chr10:89387600-89390000,ENSG00000198682,chr10:89418370-89419369,chr10:89507463-89508462,14
chr9,chr9:103806400-103807400,ENSG00000148123,chr9:103789991-103790990,chr9:104087418-104088417,14
chr9,chr9:103752000-103753600,ENSG00000148123,chr9:103789991-103790990,chr9:104087418-104088417,14
chr6,chr6:147824200-147825600,ENSG00000203727,chr6:147829063-147830062,chr6:148058684-148059683,14
chrX,chrX:7154200-7155600,ENSG00000101846,chrX:7136497-7137496,chrX:7272852-7273851,14
chr2,chr2:188453600-188454400,ENSG00000003436,chr2:188327957-188328956,chr2:188430488-188431487,14
chr3,chr3:63193800-63196000,ENSG00000163630,chr3:63212991-63213990,chr3:63602598-63603597,14
chr5,chr5:159597800-159599400,ENSG00000170231,chr5:159613374-159614373,chr5:159665743-159666742,14
chr1,chr1:68489200-68490200,ENSG00000162595,chr1:68510645-68511644,chr1:68517315-68518314,14
chr10,chr10:50611200-50611600,ENSG00000165606,chr10:50571237-50572236,chr10:50603498-50604497,14
chr18,chr18:49871800-49872000,ENSG00000187323,chr18:49865542-49866541,chr18:51057785-51058784,14
chr2,chr2:171038000-171039200,ENSG00000071909,chr2:171033655-171034654,chr2:171511682-171512681,14
chr12,chr12:81078400-81079600,ENSG00000111049,chr12:81109691-81110690,chr12:81113453-81114452,14
chr8,chr8:76342400-76343000,ENSG00000164749,chr8:76319149-76320148,chr8:76479079-76480078,14
chr1,chr1:165433200-165434200,ENSG00000143171,chr1:165369159-165370158,chr1:165414434-165415433,14
chr3,chr3:185281200-185281600,ENSG00000163904,chr3:185299284-185300283,chr3:185351340-185352339,14
chr2,chr2:207577200-207579600,ENSG00000232125,chr2:207515345-207516344,chr2:207583121-207584120,14
chr10,chr10:45854200-45855600,ENSG00000256574,chr10:45797102-45798101,chr10:45811057-45812056,14
chr12,chr12:110332200-110333600,ENSG00000139433,chr12:110287748-110288747,chr12:110318294-110319293,15
chr18,chr18:56313800-56314800,ENSG00000198796,chr18:56147479-56148478,chr18:56296190-56297189,15
chr19,chr19:45570000-45570400,ENSG00000170684,chr19:45573758-45574757,chr19:45579847-45580846,15
chr15,chr15:90450600-90451800,ENSG00000250021,chr15:90376540-90377539,chr15:90456115-90457114,15
chrX,chrX:114408600-114410200,ENSG00000175718,chrX:114422963-114423962,chrX:114427432-114428431,15
chrX,chrX:30222800-30224400,ENSG00000198798,chrX:30247553-30248552,chrX:30255608-30256607,15
chr14,chr14:21228600-21229800,ENSG00000181552,chr14:21235586-21236585,chr14:21239108-21240107,15
chr12,chr12:110338800-110341200,ENSG00000139433,chr12:110287748-110288747,chr12:110318294-110319293,15
chr1,chr1:47003600-47004600,ENSG00000197587,chr1:46971668-46972667,chr1:46979899-46980898,15
chr11,chr11:119029000-119031400,ENSG00000160703,chr11:119036277-119037276,chr11:119054726-119055725,15
chrX,chrX:107668800-107670600,ENSG00000197565,chrX:107385780-107386779,chrX:107682728-107683727,15
chr11,chr11:77709600-77711800,ENSG00000149262,chr11:77588766-77589765,chr11:77705725-77706724,15
chr1,chr1:46918000-46920400,ENSG00000197587,chr1:46971668-46972667,chr1:46979899-46980898,15
chr20,chr20:55897400-55899600,ENSG00000054796,chr20:55903815-55904814,chr20:55919051-55920050,15
chr4,chr4:156821000-156822800,ENSG00000256394,chr4:156749881-156750880,chr4:156787426-156788425,15
chr10,chr10:35519000-35520000,ENSG00000108100,chr10:35534953-35535952,chr10:35860853-35861852,15
chr5,chr5:137424600-137424800,ENSG00000061492,chr5:137418581-137419580,chr5:137428055-137429054,15
chr16,chr16:49395400-49397000,ENSG00000166152,chr16:49406734-49407733,chr16:49433343-49434342,15
chrX,chrX:107668800-107670600,ENSG00000188153,chrX:107682074-107683073,chrX:107940776-107941775,15
chrX,chrX:53017800-53019800,ENSG00000182646,chrX:52975462-52976461,chrX:53024652-53025651,15
chr11,chr11:57381000-57382400,ENSG00000149131,chr11:57363860-57364859,chr11:57382327-57383326,15
chr6,chr6:43983200-43985200,ENSG00000181577,chr6:43967317-43968316,chr6:43973696-43974695,15
chr3,chr3:63193800-63196000,ENSG00000163630,chr3:63212991-63213990,chr3:63602598-63603597,15
chr6,chr6:88038200-88039800,ENSG00000203872,chr6:88053567-88054566,chr6:88075182-88076181,15
chr1,chr1:46941800-46944000,ENSG00000197587,chr1:46971668-46972667,chr1:46979899-46980898,15
chrX,chrX:134129800-134130800,ENSG00000184785,chrX:134123968-134124967,chrX:134126502-134127501,15
chr11,chr11:59784600-59786200,ENSG00000149507,chr11:59806748-59807747,chr11:59815518-59816517,15
chrX,chrX:2830400-2832400,ENSG00000006756,chrX:2821011-2822010,chrX:2847393-2848392,15
chrX,chrX:132256400-132257600,ENSG00000134588,chrX:132157659-132158658,chrX:132231138-132232137,15
chr1,chr1:170600000-170600800,ENSG00000116132,chr1:170630869-170631868,chr1:170708561-170709560,15
chr5,chr5:137423400-137423800,ENSG00000061492,chr5:137418581-137419580,chr5:137428055-137429054,15
chr15,chr15:90450600-90451800,ENSG00000242498,chr15:90442159-90443158,chr15:90456189-90457188,15
chrX,chrX:114790000-114791000,ENSG00000102024,chrX:114794501-114795500,chrX:114885182-114886181,15
chr15,chr15:25078400-25079800,ENSG00000128739,chr15:25067794-25068793,chr15:25223871-25224870,15
chrX,chrX:107658200-107660600,ENSG00000197565,chrX:107385780-107386779,chrX:107682728-107683727,15
chrX,chrX:114406800-114408400,ENSG00000175718,chrX:114422963-114423962,chrX:114427432-114428431,15
chr2,chr2:238520200-238520400,ENSG00000234949,chr2:238498663-238499662,chr2:238504625-238505624,15
chr18,chr18:56505200-56507000,ENSG00000074657,chr18:56528832-56529831,chr18:56653713-56654712,15
chr1,chr1:153184600-153185400,ENSG00000203784,chr1:153174919-153175918,chr1:153177597-153178596,15
chr4,chr4:15927200-15928800,ENSG00000137440,chr4:15936192-15937191,chr4:15940364-15941363,15
chrX,chrX:72672000-72672800,ENSG00000131264,chrX:72666090-72667089,chrX:72675082-72676081,15
chr4,chr4:48831600-48833000,ENSG00000109180,chr4:48806229-48807228,chr4:48863835-48864834,15
chrX,chrX:30244800-30245400,ENSG00000099399,chrX:30232677-30233676,chrX:30238207-30239206,15
chr15,chr15:63323800-63325000,ENSG00000140416,chr15:63333831-63334830,chr15:63364115-63365114,15
chr8,chr8:54197600-54197800,ENSG00000082556,chr8:54137284-54138283,chr8:54164258-54165257,15
chr3,chr3:63241000-63241600,ENSG00000163630,chr3:63212991-63213990,chr3:63602598-63603597,15
chrX,chrX:139854200-139854800,ENSG00000184258,chrX:139864425-139865424,chrX:139866724-139867723,15
chr9,chr9:125323800-125325200,ENSG00000171496,chr9:125328778-125329777,chr9:125330839-125331838,15
chr1,chr1:26338600-26340000,ENSG00000158008,chr1:26345375-26346374,chr1:26362956-26363955,15
chr12,chr12:28104200-28106200,ENSG00000087494,chr12:28110017-28111016,chr12:28125639-28126638,15
chr12,chr12:11131000-11132400,ENSG00000255837,chr12:11148094-11149093,chr12:11150475-11151474,15
chr8,chr8:6397600-6399400,ENSG00000091879,chr8:6356172-6357171,chr8:6420931-6421930,15
chr18,chr18:28908200-28910600,ENSG00000134760,chr18:28897052-28898051,chr18:28936993-28937992,15
chr18,chr18:63413000-63415000,ENSG00000081138,chr18:63416488-63417487,chr18:63548639-63549638,15
chr8,chr8:21893800-21895800,ENSG00000158815,chr8:21898909-21899908,chr8:21906321-21907320,15
chrX,chrX:111673800-111674800,ENSG00000187823,chrX:111696727-111697726,chrX:111700474-111701473,15
chr2,chr2:171052800-171054000,ENSG00000071909,chr2:171033655-171034654,chr2:171511682-171512681,15
chr4,chr4:187161200-187163600,ENSG00000088926,chr4:187186099-187187098,chr4:187210836-187211835,15
chr22,chr22:38782200-38784600,ENSG00000213923,chr22:38685697-38686696,chr22:38794528-38795527,15
chrX,chrX:2729000-2731200,ENSG00000056998,chrX:2745829-2746828,chrX:2800860-2801859,15
chr1,chr1:159266400-159267000,ENSG00000179639,chr1:159258504-159259503,chr1:159278015-159279014,15
chrX,chrX:79276600-79278600,ENSG00000122145,chrX:79269255-79270254,chrX:79287269-79288268,15
chr16,chr16:49393200-49394400,ENSG00000166152,chr16:49406734-49407733,chr16:49433343-49434342,15
chrX,chrX:122308800-122310400,ENSG00000125675,chrX:122317006-122318005,chrX:122624767-122625766,15
chr8,chr8:85102000-85102200,ENSG00000184672,chr8:85094022-85095021,chr8:85834080-85835079,15
chrX,chrX:151318400-151320200,ENSG00000124260,chrX:151300782-151301781,chrX:151307034-151308033,15
chr12,chr12:165600-167200,ENSG00000120645,chr12:174931-175930,chr12:287627-288626,15
chr4,chr4:53713800-53715600,ENSG00000128045,chr4:53727457-53728456,chr4:53733001-53734000,15
chr2,chr2:183958400-183960800,ENSG00000163002,chr2:183981241-183982240,chr2:184026409-184027408,15
chr3,chr3:71817200-71818600,ENSG00000163412,chr3:71723567-71724566,chr3:71803925-71804924,15
chrX,chrX:49051200-49052600,ENSG00000102003,chrX:49043269-49044268,chrX:49056719-49057718,15
chr5,chr5:45709000-45709400,ENSG00000164588,chr5:45258349-45259348,chr5:45696254-45697253,15
chr18,chr18:49849800-49850800,ENSG00000187323,chr18:49865542-49866541,chr18:51057785-51058784,15
chr4,chr4:88906200-88907400,ENSG00000118785,chr4:88895819-88896818,chr4:88904563-88905562,15
chr17,chr17:26740600-26741400,ENSG00000076351,chr17:26720661-26721660,chr17:26734216-26735215,15
chr13,chr13:36884200-36885600,ENSG00000120669,chr13:36741345-36742344,chr13:36871980-36872979,15
chr13,chr13:36884200-36885600,ENSG00000242715,chr13:36800182-36801181,chr13:36871978-36872977,15
chrX,chrX:72673800-72674800,ENSG00000131264,chrX:72666090-72667089,chrX:72675082-72676081,15
chr16,chr16:3591400-3593800,ENSG00000215131,chr16:3542484-3543483,chr16:3545481-3546480,15
chr9,chr9:19792400-19793800,ENSG00000155886,chr9:19506450-19507449,chr9:19786927-19787926,15
chr13,chr13:36884200-36885600,ENSG00000250709,chr13:36741931-36742930,chr13:36871980-36872979,15
chr5,chr5:125934200-125936600,ENSG00000196900,chr5:125966414-125967413,chr5:125971980-125972979,15
chrX,chrX:30222800-30224400,ENSG00000214107,chrX:30260847-30261846,chrX:30270156-30271155,15
chr11,chr11:6708400-6709600,ENSG00000166341,chr11:6641556-6642555,chr11:6677086-6678085,15
chr9,chr9:139831000-139832800,ENSG00000184925,chr9:139843003-139844002,chr9:139849950-139850949,15
chr8,chr8:85115200-85115600,ENSG00000184672,chr8:85094022-85095021,chr8:85834080-85835079,15
chrX,chrX:107658200-107660600,ENSG00000188153,chrX:107682074-107683073,chrX:107940776-107941775,15
chr7,chr7:6881400-6883800,ENSG00000146574,chr7:6832765-6833764,chr7:6866402-6867401,15
chr14,chr14:57210600-57212400,ENSG00000259133,chr14:57114683-57115682,chr14:57197254-57198253,15
chr16,chr16:10771600-10773200,ENSG00000153060,chr16:10720358-10721357,chr16:10788803-10789802,15
chr17,chr17:41812800-41815200,ENSG00000167941,chr17:41830099-41831098,chr17:41836157-41837156,15
chr8,chr8:54199400-54200400,ENSG00000082556,chr8:54137284-54138283,chr8:54164258-54165257,15
chr9,chr9:3454800-3456400,ENSG00000203286,chr9:3451305-3452304,chr9:3469182-3470181,15
chr2,chr2:79421400-79422800,ENSG00000066032,chr2:79411357-79412356,chr2:80875906-80876905,15
chr13,chr13:78508000-78508800,ENSG00000136160,chr13:78468616-78469615,chr13:78493904-78494903,15
chr19,chr19:40903600-40905800,ENSG00000160396,chr19:40884178-40885177,chr19:40896095-40897094,15
chr2,chr2:79436800-79438600,ENSG00000066032,chr2:79411357-79412356,chr2:80875906-80876905,15
chr19,chr19:5447000-5448800,ENSG00000105428,chr19:5454426-5455425,chr19:5456868-5457867,15
chr6,chr6:32197600-32198000,ENSG00000204301,chr6:32161620-32162619,chr6:32191845-32192844,15
chr15,chr15:42391600-42393800,ENSG00000159337,chr15:42358207-42359206,chr15:42386753-42387752,15
chr12,chr12:6598800-6599000,ENSG00000010292,chr12:6601522-6602521,chr12:6641122-6642121,16
chr1,chr1:153098800-153100400,ENSG00000244094,chr1:153083590-153084589,chr1:153085992-153086991,16
chr21,chr21:47605000-47606600,ENSG00000235878,chr21:47611391-47612390,chr21:47613674-47614673,16
chr12,chr12:67193000-67194800,ENSG00000155974,chr12:66740211-66741210,chr12:67197967-67198966,16
chr4,chr4:122154600-122155800,ENSG00000050730,chr4:122051563-122052562,chr4:122148622-122149621,16
chr3,chr3:58379800-58382000,ENSG00000168291,chr3:58412357-58413356,chr3:58419585-58420584,16
chr11,chr11:8980400-8982400,ENSG00000176029,chr11:8940623-8941622,chr11:8954554-8955553,16
chr1,chr1:205334600-205336200,ENSG00000162873,chr1:205304220-205305219,chr1:205326219-205327218,16
chr13,chr13:115021000-115023200,ENSG00000130177,chr13:114999362-115000361,chr13:115038199-115039198,16
chr9,chr9:71637600-71639600,ENSG00000165059,chr9:71626469-71627468,chr9:71629040-71630039,16
chr8,chr8:97519400-97520200,ENSG00000169439,chr8:97504579-97505578,chr8:97624001-97625000,16
chr19,chr19:53406400-53407800,ENSG00000182986,chr19:53366043-53367042,chr19:53400947-53401946,16
chr20,chr20:23449400-23450000,ENSG00000125831,chr20:23430040-23431039,chr20:23433495-23434494,16
chr1,chr1:120452200-120454600,ENSG00000134249,chr1:120435156-120436155,chr1:120439119-120440118,16
chr6,chr6:27201600-27204000,ENSG00000112812,chr6:27214480-27215479,chr6:27224404-27225403,16
chr2,chr2:47563000-47565000,ENSG00000119888,chr2:47571297-47572296,chr2:47614741-47615740,16
chr3,chr3:195431000-195433400,ENSG00000176945,chr3:195446753-195447752,chr3:195467995-195468994,16
chr2,chr2:202595000-202596400,ENSG00000082126,chr2:202508593-202509592,chr2:202563418-202564417,16
chr1,chr1:57265200-57266800,ENSG00000187889,chr1:57183477-57184476,chr1:57285370-57286369,16
chr19,chr19:36011600-36012600,ENSG00000161249,chr19:35987122-35988121,chr19:36004561-36005560,16
chr15,chr15:68104200-68106400,ENSG00000188779,chr15:68111042-68112041,chr15:68126900-68127899,16
chr21,chr21:45999000-46000800,ENSG00000188155,chr21:46010149-46011148,chr21:46012387-46013386,16
chr17,chr17:35757600-35758400,ENSG00000108264,chr17:35765965-35766964,chr17:35839836-35840835,16
chr17,chr17:4520000-4522400,ENSG00000161905,chr17:4533197-4534196,chr17:4545590-4546589,16
chr14,chr14:90110000-90112400,ENSG00000053254,chr14:89590215-89591214,chr14:90085494-90086493,16
chr7,chr7:83326400-83328400,ENSG00000170381,chr7:82992222-82993221,chr7:83278327-83279326,16
chr12,chr12:56616200-56618200,ENSG00000139540,chr12:56622833-56623832,chr12:56631631-56632630,16
chr17,chr17:27187400-27189800,ENSG00000132591,chr17:27180956-27181955,chr17:27188086-27189085,16
chr11,chr11:30046600-30048000,ENSG00000182255,chr11:30030288-30031287,chr11:30038571-30039570,16
chr5,chr5:145911000-145911800,ENSG00000173250,chr5:145891666-145892665,chr5:145895754-145896753,16
chr19,chr19:51424800-51426200,ENSG00000167751,chr19:51363824-51364823,chr19:51383824-51384823,16
chr15,chr15:27091400-27092400,ENSG00000186297,chr15:27110510-27111509,chr15:27194355-27195354,16
chr15,chr15:27117400-27118000,ENSG00000186297,chr15:27110510-27111509,chr15:27194355-27195354,16
chr12,chr12:11126800-11129000,ENSG00000212126,chr12:11137512-11138511,chr12:11139512-11140511,16
chr4,chr4:88906200-88907400,ENSG00000118785,chr4:88895819-88896818,chr4:88904563-88905562,16
chr7,chr7:50346200-50347800,ENSG00000185811,chr7:50342720-50343719,chr7:50472800-50473799,16
chr8,chr8:56085200-56086400,ENSG00000253857,chr8:56073043-56074042,chr8:56077288-56078287,16
chr7,chr7:75839600-75841000,ENSG00000177679,chr7:75830216-75831215,chr7:75916606-75917605,16
chr12,chr12:81348200-81350200,ENSG00000111052,chr12:81185299-81186298,chr12:81331705-81332704,16
chrX,chrX:2830400-2832400,ENSG00000006756,chrX:2821011-2822010,chrX:2847393-2848392,16
chr17,chr17:35755800-35756000,ENSG00000108264,chr17:35765965-35766964,chr17:35839836-35840835,16
chr20,chr20:53126200-53128600,ENSG00000101134,chr20:53091136-53092135,chr20:53267711-53268710,16
chr6,chr6:35733600-35734000,ENSG00000137392,chr6:35761759-35762758,chr6:35765089-35766088,16
chr5,chr5:154402800-154404600,ENSG00000226650,chr5:154392260-154393259,chr5:154397686-154398685,16
chr18,chr18:67053800-67055600,ENSG00000206052,chr18:67067291-67068290,chr18:67516324-67517323,16
chr12,chr12:67192200-67192600,ENSG00000155974,chr12:66740211-66741210,chr12:67197967-67198966,16
chr19,chr19:51346800-51348400,ENSG00000167751,chr19:51363824-51364823,chr19:51383824-51384823,16
chr9,chr9:75128800-75129400,ENSG00000165091,chr9:75135717-75136716,chr9:75451268-75452267,16
chr11,chr11:22366000-22366800,ENSG00000091664,chr11:22358643-22359642,chr11:22401050-22402049,16
chr12,chr12:165600-167200,ENSG00000120645,chr12:174931-175930,chr12:287627-288626,16
chr4,chr4:119766800-119768600,ENSG00000150961,chr4:119642978-119643977,chr4:119759839-119760838,16
chrX,chrX:149784200-149786200,ENSG00000171100,chrX:149736069-149737068,chrX:149841796-149842795,16
chr12,chr12:81350800-81351800,ENSG00000111052,chr12:81185299-81186298,chr12:81331705-81332704,16
chr10,chr10:102228200-102230600,ENSG00000075290,chr10:102221798-102222797,chr10:102243502-102244501,16
chr9,chr9:112405400-112406400,ENSG00000243444,chr9:112402068-112403067,chr9:112713756-112714755,16
chr13,chr13:100730800-100733200,ENSG00000175198,chr13:100740269-100741268,chr13:101182687-101183686,16
chr19,chr19:51346800-51348400,ENSG00000142515,chr19:51357171-51358170,chr19:51364021-51365020,16
chr9,chr9:32378600-32380200,ENSG00000122729,chr9:32383618-32384617,chr9:32454768-32455767,16
chr12,chr12:21747800-21748800,ENSG00000111713,chr12:21688123-21689122,chr12:21757782-21758781,16
chr9,chr9:103831000-103832400,ENSG00000148123,chr9:103789991-103790990,chr9:104087418-104088417,16
chr1,chr1:163200200-163202600,ENSG00000143228,chr1:163235366-163236365,chr1:163325555-163326554,16
chr9,chr9:103834600-103837000,ENSG00000148123,chr9:103789991-103790990,chr9:104087418-104088417,16
chr21,chr21:32424600-32425800,ENSG00000206102,chr21:32409478-32410477,chr21:32410796-32411795,16
chr1,chr1:196960000-196962000,ENSG00000134389,chr1:196945667-196946666,chr1:196978805-196979804,16
chr1,chr1:43984400-43986800,ENSG00000142949,chr1:43989858-43990857,chr1:44089344-44090343,16
chr1,chr1:229532200-229534000,ENSG00000143632,chr1:229565992-229566991,chr1:229569846-229570845,16
chr2,chr2:207577200-207579600,ENSG00000232125,chr2:207515345-207516344,chr2:207583121-207584120,16
chr7,chr7:112715600-112718000,ENSG00000164604,chr7:112717386-112718385,chr7:112727834-112728833,16
chr2,chr2:77816400-77817800,ENSG00000176204,chr2:76973845-76974844,chr2:77820446-77821445,16
chr19,chr19:51546600-51548000,ENSG00000186474,chr19:51531348-51532347,chr19:51538487-51539486,16
chr11,chr11:66019400-66021800,ENSG00000174996,chr11:66023765-66024764,chr11:66035332-66036331,16
chr1,chr1:94590800-94593200,ENSG00000198691,chr1:94457393-94458392,chr1:94586689-94587688,16
chr1,chr1:68489200-68490200,ENSG00000162595,chr1:68510645-68511644,chr1:68517315-68518314,16
chr1,chr1:176448400-176449800,ENSG00000116183,chr1:176431307-176432306,chr1:176814736-176815735,16
chr4,chr4:87525000-87526800,ENSG00000163629,chr4:87514468-87515467,chr4:87736325-87737324,16
chr12,chr12:8637200-8638800,ENSG00000166527,chr12:8661071-8662070,chr12:8674963-8675962,16
chr12,chr12:28104200-28106200,ENSG00000087494,chr12:28110017-28111016,chr12:28125639-28126638,16
chr1,chr1:149748200-149750200,ENSG00000183598,chr1:149783826-149784825,chr1:149785237-149786236,16
chr11,chr11:8006400-8008800,ENSG00000175390,chr11:7990798-7991797,chr11:8023410-8024409,16
chr4,chr4:8890000-8891400,ENSG00000215612,chr4:8846802-8847801,chr4:8873544-8874543,16
chr11,chr11:43558400-43560400,ENSG00000149084,chr11:43576986-43577985,chr11:43878168-43879167,16
chr1,chr1:27193600-27195600,ENSG00000175793,chr1:27188633-27189632,chr1:27190948-27191947,16
chr11,chr11:73341800-73342000,ENSG00000021300,chr11:73356223-73357222,chr11:73373865-73374864,16
chr2,chr2:202919000-202919800,ENSG00000182329,chr2:202936978-202937977,chr2:203062586-203063585,16
chr1,chr1:46922200-46923200,ENSG00000197587,chr1:46971668-46972667,chr1:46979899-46980898,16
chr6,chr6:101882400-101884000,ENSG00000164418,chr6:101845664-101846663,chr6:102517959-102518958,16
chr3,chr3:30949800-30951800,ENSG00000144644,chr3:30766692-30767691,chr3:30936258-30937257,16
chr7,chr7:41751000-41751800,ENSG00000122641,chr7:41723712-41724711,chr7:41742707-41743706,16
chr5,chr5:45724200-45725800,ENSG00000164588,chr5:45258349-45259348,chr5:45696254-45697253,16
chr11,chr11:113841800-113843000,ENSG00000166736,chr11:113844603-113845602,chr11:113861036-113862035,16
chr2,chr2:167005200-167006200,ENSG00000144285,chr2:166844670-166845669,chr2:166984524-166985523,16
chr1,chr1:57269200-57269400,ENSG00000187889,chr1:57183477-57184476,chr1:57285370-57286369,16
chr6,chr6:132869400-132870800,ENSG00000146385,chr6:132872832-132873831,chr6:132874861-132875860,16
chrX,chrX:6174600-6176000,ENSG00000146938,chrX:5757678-5758677,chrX:6146905-6147904,16
chr12,chr12:81078400-81079600,ENSG00000111049,chr12:81109691-81110690,chr12:81113453-81114452,16
chr12,chr12:21533400-21533600,ENSG00000121351,chr12:21506893-21507892,chr12:21532913-21533912,16
chr18,chr18:49845400-49846200,ENSG00000187323,chr18:49865542-49866541,chr18:51057785-51058784,16
chr15,chr15:90900800-90902800,ENSG00000238244,chr15:90889819-90890818,chr15:90892670-90893669,16
chr2,chr2:163680600-163682200,ENSG00000184611,chr2:163226917-163227916,chr2:163695241-163696240,16
chr11,chr11:6176800-6179200,ENSG00000255307,chr11:6189560-6190559,chr11:6191639-6192638,16
chr14,chr14:80861600-80862200,ENSG00000211448,chr14:80662873-80663872,chr14:80854101-80855100,17
chr1,chr1:161671200-161672800,ENSG00000162746,chr1:161690353-161691352,chr1:161697934-161698933,17
chr19,chr19:835400-837600,ENSG00000197561,chr19:850014-851013,chr19:856243-857242,17
chr4,chr4:74727800-74729000,ENSG00000163739,chr4:74734110-74735109,chr4:74736960-74737959,17
chr20,chr20:296600-298000,ENSG00000177732,chr20:305207-306206,chr20:310866-311865,17
chr20,chr20:49644800-49646200,ENSG00000026559,chr20:49619193-49620192,chr20:49639667-49640666,17
chr4,chr4:2440400-2441400,ENSG00000249428,chr4:2450700-2451699,chr4:2464669-2465668,17
chr2,chr2:173590400-173592400,ENSG00000091428,chr2:173599002-173600001,chr2:173917622-173918621,17
chr19,chr19:49541600-49543600,ENSG00000196337,chr19:49556531-49557530,chr19:49562118-49563117,17
chr14,chr14:53241400-53242600,ENSG00000100522,chr14:53240912-53241911,chr14:53258387-53259386,17
chr11,chr11:102677000-102679200,ENSG00000196611,chr11:102659651-102660650,chr11:102668892-102669891,17
chr20,chr20:16732800-16734000,ENSG00000125879,chr20:16728003-16729002,chr20:16750708-16751707,17
chr19,chr19:49528800-49529800,ENSG00000213030,chr19:49549895-49550894,chr19:49552401-49553400,17
chr10,chr10:33320200-33322600,ENSG00000150093,chr10:33188247-33189246,chr10:33294721-33295720,17
chr14,chr14:80860400-80861000,ENSG00000211448,chr14:80662873-80663872,chr14:80854101-80855100,17
chr7,chr7:56141400-56142800,ENSG00000164776,chr7:56147440-56148439,chr7:56160690-56161689,17
chr19,chr19:46309200-46310400,ENSG00000104936,chr19:46271975-46272974,chr19:46285811-46286810,17
chr16,chr16:827000-829200,ENSG00000162006,chr16:818428-819427,chr16:833371-834370,17
chr10,chr10:18440000-18441600,ENSG00000165995,chr10:18428606-18429605,chr10:18830799-18831798,17
chr9,chr9:89774800-89776200,ENSG00000204446,chr9:89762559-89763558,chr9:89774472-89775471,17
chr1,chr1:145183400-145185400,ENSG00000213240,chr1:145208119-145209118,chr1:145291973-145292972,17
chr1,chr1:145734800-145735800,ENSG00000174827,chr1:145725918-145726917,chr1:145764075-145765074,17
chr2,chr2:47048400-47050000,ENSG00000239332,chr2:47042836-47043835,chr2:47086147-47087146,17
chr20,chr20:9068000-9069400,ENSG00000101333,chr20:9048410-9049409,chr20:9461890-9462889,17
chr8,chr8:41172800-41174400,ENSG00000104332,chr8:41118481-41119480,chr8:41167017-41168016,17
chr15,chr15:43565200-43566800,ENSG00000104055,chr15:43523793-43524792,chr15:43559056-43560055,17
chr9,chr9:36267800-36269600,ENSG00000159921,chr9:36213438-36214437,chr9:36277054-36278053,17
chr9,chr9:94748600-94749000,ENSG00000169071,chr9:94324373-94325372,chr9:94712445-94713444,17
chr2,chr2:223940000-223942400,ENSG00000152049,chr2:223915532-223916531,chr2:224063118-224064117,17
chr10,chr10:33281000-33282400,ENSG00000150093,chr10:33188247-33189246,chr10:33294721-33295720,17
chr9,chr9:101696800-101699000,ENSG00000204291,chr9:101704461-101705460,chr9:101833070-101834069,17
chr19,chr19:12935600-12937200,ENSG00000105613,chr19:12943765-12944764,chr19:12985766-12986765,17
chr1,chr1:161671200-161672800,ENSG00000132185,chr1:161675762-161676761,chr1:161684143-161685142,17
chr15,chr15:102305000-102305800,ENSG00000259658,chr15:102276302-102277301,chr15:102285914-102286913,17
chr5,chr5:79862600-79863200,ENSG00000189127,chr5:79851574-79852573,chr5:79866308-79867307,17
chr11,chr11:68410800-68411400,ENSG00000069482,chr11:68450247-68451246,chr11:68458644-68459643,17
chr2,chr2:47048400-47050000,ENSG00000222005,chr2:47042807-47043806,chr2:47049797-47050796,17
chr7,chr7:103645600-103646200,ENSG00000189056,chr7:103111231-103112230,chr7:103629964-103630963,17
